incident_id,description,severity
1,A complaint was lodged about discrimination targeting a domestic worker in a slum area of Dharavi.,Medium
2,"Human trafficking case recorded in a public park in Chandigarh, impacting a young girl.",High
3,An incident of acid attack involving a female traveler was reported in a slum area of Dharavi.,High
4,An incident of eve-teasing involving a female police officer was reported on a crowded bus in Bengaluru.,Medium
5,An incident of rape attempt involving a child was reported in a village in Uttar Pradesh.,High
6,An incident of stalking involving a single mother was reported at a cinema hall in Gujarat.,Medium
7,A complaint was lodged about eve-teasing targeting a domestic worker on a crowded bus in Bengaluru.,Medium
8,A female traveler was subjected to chain snatching at a police station in Jharkhand.,Medium
9,"Honor killing case recorded at a metro station in Delhi, impacting a widow.",High
10,A complaint was lodged about verbal abuse targeting a child on a footbridge in Assam.,Medium
11,A woman in distress was subjected to chain snatching on a crowded bus in Bengaluru.,Medium
12,A working woman faced child marriage at a metro station in Delhi.,High
13,A complaint was lodged about illegal detention targeting a woman in distress in a busy market in Kolkata.,Low
14,A young girl faced domestic violence in a busy market in Kolkata.,Medium
15,A complaint was lodged about harassment targeting a working woman in a mall in Pune.,Medium
16,A female traveler faced eve-teasing in a public park in Chandigarh.,Medium
17,A widow faced stalking in an apartment complex in Kerala.,Medium
18,A complaint was lodged about child marriage targeting a young girl near a coaching center in Kota.,High
19,"Child marriage case recorded in a busy market in Kolkata, impacting a domestic worker.",High
20,An incident of rape attempt involving a domestic worker was reported in an apartment complex in Kerala.,High
21,A female traveler was subjected to illegal detention at an IT park in Noida.,Medium
22,A teenage student was subjected to verbal abuse on a crowded bus in Bengaluru.,Low
23,A teenage student was subjected to human trafficking at a metro station in Delhi.,High
24,A woman in distress was subjected to verbal abuse in a public park in Chandigarh.,Low
25,An incident of stalking involving a married woman was reported inside a hostel in Punjab.,Medium
26,A child was subjected to threatening behavior on a footbridge in Assam.,Medium
27,An incident of cyberbullying involving a single mother was reported in a slum area of Dharavi.,Medium
28,A woman in distress was subjected to discrimination near a coaching center in Kota.,Medium
29,"Verbal abuse case recorded in a school in Hyderabad, impacting a teenage student.",Low
30,A single mother faced physical assault on a deserted road in Bihar.,High
31,An incident of child marriage involving a working woman was reported in a village in Uttar Pradesh.,High
32,An incident of cyberbullying involving a female police officer was reported at a cinema hall in Gujarat.,Medium
33,An incident of chain snatching involving a female traveler was reported inside a hostel in Punjab.,Medium
34,"Molestation case recorded on a footbridge in Assam, impacting a female traveler.",High
35,A young girl was subjected to kidnapping outside a temple in Varanasi.,High
36,A complaint was lodged about stalking targeting a widow inside a government office in Chennai.,Medium
37,A domestic worker was subjected to kidnapping in a slum area of Dharavi.,High
38,A single mother was subjected to kidnapping inside a government office in Chennai.,High
39,An incident of stalking involving a female traveler was reported inside a hostel in Punjab.,Medium
40,A widow faced harassment in a mall in Pune.,Medium
41,A complaint was lodged about dowry harassment targeting a working woman on a crowded bus in Bengaluru.,Medium
42,A complaint was lodged about threatening behavior targeting a widow near a coaching center in Kota.,Medium
43,A complaint was lodged about domestic violence targeting a working woman at a metro station in Delhi.,Low
44,A complaint was lodged about domestic violence targeting a domestic worker in a school in Hyderabad.,Low
